,證券代號,證券名稱
905,6183,關貿
906,6184,大豐電
907,6189,豐藝
908,6191,精成科
909,6192,巨路
910,6196,帆宣
911,6197,佳必琪
912,6201,亞弘電
913,6202,盛群
914,6205,詮欣
915,6206,飛捷
916,6209,今國光
917,6213,聯茂
918,6214,精誠
919,6215,和椿
920,6216,居易
921,6224,聚鼎
922,6225,天瀚
923,6226,光鼎
924,6230,超眾
925,6235,華孚
926,6239,力成
927,6243,迅杰
928,6251,定穎
929,6257,矽格
930,6269,台郡
931,6271,同欣電
932,6277,宏正
933,6278,台表科
934,6281,全國電
935,6282,康舒
936,6283,淳安
937,6285,啟碁
938,6288,聯嘉
939,6289,華上
940,6405,悅城
941,6409,旭隼
942,6412,群電
943,6414,樺漢
944,6415,矽力-KY
945,6416,瑞祺電通
946,6431,光麗-KY
947,6442,光聖
948,6443,元晶
949,6449,鈺邦
950,6451,訊芯-KY
951,6452,康友-KY
952,6456,GIS-KY
953,6464,台數科
954,6477,安集
955,6504,南六
956,6505,台塑化
957,6525,捷敏-KY
958,6531,愛普
959,6533,晶心科
960,6541,泰福-KY
961,6552,易華電
962,6558,興能高
963,6573,虹揚-KY
964,6579,研揚
965,6581,鋼聯
966,6582,申豐
967,6591,動力-KY
968,6605,帝寶
969,6625,必應
970,6641,基士德-KY
971,6655,科定
972,6666,羅麗芬-KY
973,6668,中揚光
974,6670,復盛應用
975,6671,三能-KY
976,6674,鋐寶科技
977,8011,台通
978,8016,矽創
979,8021,尖點
980,8028,昇陽半導體
981,8033,雷虎
982,8039,台虹
983,8046,南電
984,8070,長華
985,8072,陞泰
986,8081,致新
987,8101,華冠
988,8103,瀚荃
989,8104,錸寶
990,8105,凌巨
991,8110,華東
992,8112,至上
993,8114,振樺電
994,8131,福懋科
995,8150,南茂
996,8163,達方
997,8201,無敵
998,8210,勤誠
999,8213,志超
1000,8215,明基材
1001,8222,寶一
1002,8249,菱光
1003,8261,富鼎
1004,8271,宇瞻
1005,8341,日友
1006,8367,建新國際
1007,8374,羅昇
1008,8404,百和興業-KY
1009,8411,福貞-KY
1010,8422,可寧衛
1011,8427,基勝-KY
1012,8429,金麗-KY
1013,8442,威宏-KY
1014,8443,阿瘦
1015,8454,富邦媒
1016,8463,潤泰材
1017,8464,億豐
1018,8466,美吉吉-KY
1019,8467,波力-KY
1020,8473,山林水
1021,8478,東哥遊艇
1022,8480,泰昇-KY
1023,8481,政伸
1024,8482,商億-KY
1025,8488,吉源-KY
1026,8497,聯廣
1027,8499,鼎炫-KY
1028,8926,台汽電
1029,8940,新天地
1030,8996,高力
1031,9103,美德醫療-DR
1032,910322,康師傅-DR
1033,910482,聖馬丁-DR
1034,9105,泰金寶-DR
1035,910708,恒大健-DR
1036,910861,神州-DR
1037,9110,越南控-DR
1038,911608,明輝-DR
1039,911616,杜康-DR
1040,911619,耀傑-DR
1041,911622,泰聚亨-DR
1042,911868,同方友友-DR
1043,912000,晨訊科-DR
1044,912398,友佳-DR
1045,9136,巨騰-DR
1046,9157,陽光能源-DR
1047,9188,精熙-DR
1048,9802,鈺齊-KY
1049,9902,台火
1050,9904,寶成
1051,9905,大華
1052,9906,欣巴巴
1053,9907,統一實
1054,9908,大台北
1055,9910,豐泰
1056,9911,櫻花
1057,9912,偉聯
1058,9914,美利達
1059,9917,中保
1060,9918,欣天然
1061,9919,康那香
1062,9921,巨大
1063,9924,福興
1064,9925,新保
1065,9926,新海
1066,9927,泰銘
1067,9928,中視
1068,9929,秋雨
1069,9930,中聯資源
1070,9931,欣高
1071,9933,中鼎
1072,9934,成霖
1073,9935,慶豐富
1074,9937,全國
1075,9938,百和
1076,9939,宏全
1077,9940,信義
1078,9941,裕融
1079,9941A,裕融甲特
1080,9942,茂順
1081,9943,好樂迪
1082,9944,新麗
1083,9945,潤泰新
1084,9946,三發地產
1085,9955,佳龍
1086,9958,世紀鋼
